components,disease_name,functions,indication,medicine_name,usage
"本品化学名为(±)-9-氟-2,3-二氢-三甲基-10-(4-甲基-1-哌嗪基)-7-氧代-7H-吡啶骈[1,2,3-de][1,4]...",急性卡他性结膜炎,主要用于敏感菌所致的泌尿、生殖、消化、呼吸系统和皮肤、软组织等急慢性细菌感染。包...,急性支气管炎支气管炎气管炎慢性支气管炎支气管扩张肺炎喉炎扁桃体炎扁桃体周围脓肿肾盂肾炎肾炎尿路感染前列腺炎附睾炎附件炎盆腔炎厌氧菌感染传染性脓疱病脓疱病肛周脓肿细菌性痢疾痢疾肠炎伤寒烧伤咽喉炎脓肿复杂性尿路感染皮肤软组织感染软组织感染脓疱蜂窝组织炎伤口感染,氧氟沙星片,口服：每日200～600mg，1～3次服，根据病症适当调整剂量。
本品主要成份为：氧氟沙星。其化学名称为：(±)-9-氟-2，3-二氢-3-甲基-10-（4-甲基-1-哌...,急性卡他性结膜炎,适用于敏感菌引起的：1.泌尿生殖系统感染，包括单纯性、复杂性尿路感染、细菌性前列腺...,尿路感染细菌性前列腺炎前列腺炎淋病尿道炎宫颈炎溶血伤寒血症复杂性尿路感染菌尿肺部感染皮肤软组织感染软组织感染,氧氟沙星注射液,静脉滴注。成人常用量：1支气管感染、肺部感染：一次0.3g，一日2次，疗程为7～14日。2...
内含鲜鱼腥草。ml鱼腥草滴眼液含鲜鱼腥草、含挥发油(主要成分为鱼腥草素、甲基正壬酮、...,急性卡他性结膜炎,"清热，解毒，利湿。用于风热疫毒，暴风客热，天行赤眼暴翳(急性卡他性结膜炎,流行性角...",急性卡他性结膜炎卡他性结膜炎结膜炎流行性角结膜炎,鱼腥草滴眼液(朗逸),滴入眼睑内。一次1滴，一日6次。疗程：急性卡他性结膜炎7天，流行性角结膜炎10天。
本品主要成分及其化学名称：主要成分：醋甲唑胺，化学名称：5-乙酰胺基-4-甲基-1-硫-3，4-...,正常眼压性青光眼,用于原发性开角型青光眼、闭角型青光眼及某些继发性青光眼，局部用抗青光眼药眼压控制...,原发性开角型青光眼开角型青光眼青光眼肾结石,醋甲唑胺片(尼目克司),成人口服初始用药时，用25mg，一日2次，这一剂量常可使眼压下降4～5mmHg，且副作用最小。...
其组份为：每粒含烟酰胺100毫克，维生素B620毫克，维生素B210毫克，叶酸10毫克。,白塞病性巩膜炎,适用于复发性口腔溃疡（复发性口疮）、小儿疱疹性咽颊炎、唇炎、口角炎、舌炎等口腔炎...,口腔溃疡口角炎溃疡疱疹舌炎,四维他胶囊(双鹤),口服。一日3次，成人一次1粒，小儿酌减（服1/3--1/2粒）
该产品由半导体激光器、电源及控制系统、冷却系统、激光治疗适配器、脚踏开关组成。激...,脉络膜新生血管,该产品临床适用于由于脉络膜新生血管(CNV)引起的眼底病变。,,眼科激光治疗仪,
本品主要成分及其化学名称：主要成分：醋甲唑胺，化学名称：5-乙酰胺基-4-甲基-1-硫-3，4-...,正常眼压性青光眼,用于原发性开角型青光眼、闭角型青光眼及某些继发性青光眼，局部用抗青光眼药眼压控制...,原发性开角型青光眼开角型青光眼青光眼肾结石,醋甲唑胺片(尼目克司),成人口服初始用药时，用25mg，一日2次，这一剂量常可使眼压下降4～5mmHg，且副作用最小。...
牛磺酸。,卡他性结膜炎,用于牛磺酸代谢失调引起的白内障。也可用于急性结膜炎、疱疹性结膜炎、病毒性结膜炎的...,结膜炎,牛磺酸滴眼液(舒点),滴眼，一次1-2滴，一日3-5次。
该产品由半导体激光器、电源及控制系统、冷却系统、激光治疗适配器、脚踏开关组成。激...,脉络膜新生血管,该产品临床适用于治疗由于脉络膜新生血管(ＣＮＶ)引起的眼底病变。,,眼科激光治疗仪,
本品主要成分及其化学名称：主要成分：醋甲唑胺，化学名称：5-乙酰胺基-4-甲基-1-硫-3，4-...,正常眼压性青光眼,用于多种原因引起地视神经萎缩症（外伤，视网膜色素变性，视神经炎，缺血性视神经病变...,视神经萎缩视网膜色素变性变性视神经炎神经炎缺血性视神经病变视神经病变神经病青光眼,注射用胞磷胆碱钠肌苷(英迪特),
本品主要成分为羟苯磺酸钙。,高血压病视网膜病变,1.微血管病的治疗：糖尿病性微血管病变—视网膜病变及肾小球硬化症（基-威二氏综合症）...,糖尿病视网膜病变糖尿,羟苯磺酸钙胶囊,口服：亚临床视网膜病变或预防性用药，每日500mg，分1～2次服用；非增生性视网膜病变或...
本品主要成分为：胰激肽原酶。,脉络膜新生血管,血管扩张药。有改善微循环作用。主要用于微循环障碍性疾病，如糖尿病引起的肾病，周围...,糖尿病肾病神经病眼底病高血压微循环障碍糖尿,胰激肽原酶肠溶片(广乐),口服，一次120～240单位一日360～720单位空腹服用。
本品主要成份为：芦丁。,高血压病视网膜病变,要用于脆性增加的毛细血管出血症，也用于高血压脑病、,血症高血压高血压脑病脑病脑出血肾炎鼻出血产后出血毛细血管出血视网膜出血紫癜创伤,芦丁片,成人常用量口服，一次20～40mg，每日3次。
灯盏细辛浸膏。,视网膜血管炎,活血化瘀，有改善脑血循环，增加脑血流量，增加心肌对缺血缺氧的耐受性，改善微循环的...,血缺氧脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病,益脉康胶囊(金扬沙),口服。一次1粒，一日3次。
灯盏细辛。,视网膜血管炎,活血化瘀，用于缺血性脑血管病及脑出血后遗瘫痪，眼底视网膜静脉阻塞，冠心病，血管炎...,视野缩小脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病青光眼,益脉康分散片,口服，一次2片，一日三次。
该产品由主机，颏托，触摸屏，触控笔，手垫，鼠标，键盘，U盘(选配件)，打印机(选配件)...,脉络膜新生血管,该产品临床用于监测老年黄斑变性(AMD)并早期发现其向脉络膜新生血管(CNV)的转化。,糖尿病肾病神经病眼底病高血压微循环障碍糖尿,视锐度分析仪,
本品每片含盐酸西替利嗪10毫克。辅料为乳糖、淀粉、聚维酮K90、硬脂酸镁化学名：(±)...,卡他性结膜炎,用于季节性或常年性过敏性鼻炎、过敏性结膜炎及过敏引起皮肤瘙痒和荨麻疹的对症治疗。,过敏过敏性鼻炎鼻炎结膜炎荨麻疹麻疹皮肤瘙痒瘙痒,盐酸西替利嗪片[比特力](比特力),口服。推荐成人和2岁以上儿童使用。1.成人：一次1片，可于晚餐时少量液体送服，若对不...
夏枯草、青葙子、密蒙花、栀子、菊花、赤芍、牡丹皮、防风、川芎、牛蒡子、薄荷、木贼...,溢泪症,清热泻火，祛风退翳。用于风火上扰，目赤肿痛，眼生星翳，畏光流泪。,目赤畏光畏光流泪流泪,除翳明目片(美德),口服。一次5片，一日3次。
灯盏细辛。,视网膜血管炎,活血化瘀，用于缺血性脑血管病及脑出血后遗瘫痪，眼底视网膜静脉阻塞，冠心病，血管炎...,视野缩小脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病青光眼,益脉康分散片(西安天一),口服，一次2片，一日三次。
17α，21-二羟基孕甾-1，4-二烯－3，11，20-三酮98-醋酸酯。,视网膜血管炎,主要用于过敏性与自身免疫性炎症性疾病。适用于结缔组织病，系统性红斑狼疮，重症多肌...,过敏红斑狼疮类风湿性关节炎风湿性关节炎肾病肾病综合征支气管哮喘哮喘血小板减少性紫癜白血病皮炎天疱疮神经性皮炎湿疹带状疱疹细菌感染结节血小板减少紫癜粒细胞减少剥脱性皮炎疱疹神经痛,醋酸泼尼松片,1口服一般一次5～10mg（1～2片），一日10～60mg（2～12片）。2对于系统性红斑狼疮、胃病...
灯盏细辛浸膏。化学成分主要有黄酮类(主要成分)、内酯、氨基酸、多糖等，如焦福康酸(P...,视网膜血管炎,活血化瘀，有改善脑血循环，增加脑血流量，增加心肌对缺血、缺氧的耐受性，改善微循环...,脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病,益脉康片(美尔瑞),口服。一次2片，一日三次。
17α，21-二羟基孕甾-1，4-二烯－3，11，20-三酮520-醋酸酯。,视网膜血管炎,主要用于过敏性与自身免疫性炎症性疾病。适用于结缔组织病，系统性红斑狼疮，重症多...,过敏红斑狼疮类风湿性关节炎风湿性关节炎肾病肾病综合征支气管哮喘哮喘血小板减少性紫癜白血病皮炎天疱疮神经性皮炎湿疹带状疱疹细菌感染结节血小板减少紫癜粒细胞减少剥脱性皮炎疱疹神经痛,醋酸泼尼松片,1口服一般一次5～10mg（1～2片），一日10～60mg（2～12片）。2对于系统性红斑狼疮、胃病综...
对氨基水杨酸钠。其化学名称为：4-氨基-2-羟基苯甲酸钠盐二水合物。分子式：C7H6NNaO3&amp;middot...,先天性眼球震颤,适用于结核分枝杆菌所致的肺及肺外结核病。本品仅对分枝杆菌有效，单独应用时结核杆菌...,肺外结核结核病,对氨基水杨酸钠肠溶片,口服成人一次4~6片，一日16~24片，一日4次；小儿按体重每日0.2~0.3g/kg，分3~4次，儿童每日剂...
化学名称：3，7-二甲基-9-(2，6，6-三甲基-l-环己烯-1-基)-2，4，6，8-壬四烯-1-醇醋酸酯(维生...,鲍恩病,用于治疗维生素A缺乏症，如夜盲症、干眼病、角膜软化症和皮肤粗糙等。,干眼干眼症夜盲皮肤粗糙,维生素A软胶囊,1严重维生素A缺乏症：口服，成人每日10万单位，3日后改为每日5万单位，给药2周，然后每...
对氨基水杨酸钠。其化学名称为：4-氨基-2-羟基苯甲酸钠盐二水合物。分子式：C7H6NNaO3&amp;middot...,先天性眼球震颤,暂无数据,肺外结核结核病,利多卡因,
眼内异物爪有挤压式二爪、挤压式三爪、挤压式四爪、揿手式二爪、揿手式三爪、揿手式四...,眼内异物,供眼内显微手术时夹持眼深部异物用。,,眼内异物爪,
眼内异物爪的柄部型式为旋转式和杠杆式。头部型式为二爪、三爪、四爪三种规格。眼内异...,眼内异物,供眼内显微手术时夹取眼部异物用。,,眼内异物爪,
莎普爱思主要成份为：苄达赖氨酸。其化学名称为：L-赖氨酸(1-苄基-1H-吲哒唑-3-氧基)乙酸...,后发性白内障,莎普爱思适用于早期老年性白内障。,白内障,苄达赖氨酸滴眼液(福晶晶),滴眼，一日3次，一次1～2滴或遵医嘱。
本品主要成分为妥布霉素。,后发性白内障,本品适用于外眼及附属器敏感菌株感染的局部抗感染治疗。应用妥布霉素时，应注意观察细...,眼部感染,妥布霉素眼膏(托百士),1、轻度及中度感染的患者，每日2－3次，每次取约1.5cm长的药膏涂入患眼，病情缓解后减量...
显微眼内异物镊的型式为圆柄两片式。,眼内异物,供眼内（后节）手术中夹持眼内组织用。,,显微眼内异物镊,
"本品化学名称为：N-[（2S,3R）-4-苯基-3-氨基-2-羟基丁酰]-L-亮氨酸。",白血病视网膜病变,本品可增强免疫功能，用于抗癌化疗、放疗的辅助治疗，老年性免疫功能缺陷等。可配合...,白血病多发性骨髓瘤骨髓瘤,乌苯美司胶囊(齐力佳),成人，一日30mg，1次（早晨空腹口服）或分3次口服；儿童酌减。症状减轻或长期服用，也可...
全氟辛烷是在玻璃体视网膜手术过程中作为一种暂时使用的医疗器械，为无菌无色透明液体...,眼内异物,用于伴严重PVR的孔源性视网膜脱离、巨大裂孔性视网膜脱离、糖尿病视网膜病变、眼外伤、...,,眼科手术用全氟辛烷,
眼内异物爪的型式为二爪、三爪、四爪三种。二爪、三爪、四爪全长为150毫米。眼内异物爪...,眼内异物,该产品供眼内手术时，夹持异物用。,,眼内异物爪,
YZ6系列检眼镜由头部组件、手柄组件和电箱组成，按结构不同分五种。YZ6E为二级调光，YZ6F...,眼内异物,适用于检查眼底和测量眼内异物位置及病灶范围。,,YZ6系列检眼镜,
眼内异物镊型式分为：两爪(勺式)、三爪、四爪三种；眼内异物镊采用：0Cr17Ni4Cu4Nb或TC4材料...,眼内异物,该产品用于清除眼内异物用。,,眼内异物镊,
全氟辛烷是在玻璃体视网膜手术过程中作为一种暂时使用的医疗器械，为无菌无色透明液体...,眼内异物,用于伴严重PVR的孔源性视网膜脱离、巨大裂孔性视网膜脱离、糖尿病视网膜病变、眼外伤、...,,眼科手术用全氟辛烷,
1、眼内吸铁器的型式为：4000GS、永磁性、头部Φ1.0mm、头部Φ1.5mm四种形式；2、眼内吸铁器...,眼内异物,该产品供吸除眼内含铁、钴、镍等金属异物用。,,眼内吸铁器,
该产品为重复性使用眼科器械，由磁铁头与不锈钢手柄两部分组成。,眼内异物,该产品通过磁力吸除患者眼内5克以下的金属异物。,,眼内异物去除磁铁头,
本品主要组成成分;变应原提取物。,变态反应性结膜炎,由吸入性变应原诱发、IgE介导的变态反应性疾病：如过敏性鼻炎、过敏性结膜炎、支气管哮...,,螨变应原注射液(阿罗格),必须根据各个病人的反应确定剂量。以下推荐剂量仅作为参考。根据病人既往史和试验反应...
珍珠液、冰片、辅料为氯化钠、羟苯乙酯。,共同性外斜视,清热泻火，养肝明目，用于肝虚火旺引起视力疲劳症和慢性结膜炎。长期使用可以保护视力...,,珍珠明目滴眼液(太湖美),滴入眼睑内，一次1～2滴，一日3～5次。
本品每片含盐酸西替利嗪10毫克。辅料为乳糖、淀粉、聚维酮K90、硬脂酸镁化学名：()-2-[2-[4...,变态反应性结膜炎,用于季节性或常年性过敏性鼻炎、由过敏原引起的荨麻疹及皮肤瘙痒。,过敏过敏性鼻炎鼻炎结膜炎荨麻疹麻疹皮肤瘙痒瘙痒,盐酸西替利嗪片(彼迪),口服。推荐成人和2岁以上儿童使用。1.成人：一次1片，可于晚餐时少量液体送服，若对...
本品主要成分为左旋多巴，其化学名称为：3-羟基-L-酪氨酸。其结构式为：C9H11NO4197.19,共同性外斜视,用于帕金森病及帕金森综合征。,帕金森,左旋多巴片(海慶),口服开始一次250mg，一日2~4次，饭后服用。以后视患者耐受情况，每隔3~7日增加一次剂量，...
本品主要成份曲克芦丁，化学名称为：7，3′，4′-三羟乙基芦丁。,视网膜静脉周围炎,用于缺血性脑血管病（如脑血栓形成、脑栓塞）、中心性视网膜炎、动脉感化、冠心病、血...,脑血栓脑血栓形成血栓形成静脉炎网膜炎水肿,曲克芦丁氯化钠注射液,静脉滴注。一次0.21g-0.48g（以曲克芦丁计），一日1次，20天为1疗程，或遵医嘱。
本品每片含盐酸西替利嗪10毫克。辅料为乳糖、淀粉、聚维酮K90、硬脂酸镁化学名：(±)...,变态反应性结膜炎,用于季节性或常年性过敏性鼻炎、由过敏原引起的荨麻疹及皮肤瘙痒。,过敏过敏性鼻炎鼻炎结膜炎荨麻疹麻疹皮肤瘙痒瘙痒,盐酸西替利嗪片,口服。推荐成人和2岁以上儿童使用。1.成人：一次1片，可于晚餐时少量液体送服，若对...
,慢性卡他性结膜炎,用于敏感菌引起的：1.泌尿生殖系统感染，包括单纯性、复杂性尿路感染、细菌性前列腺炎...,尿路感染细菌性前列腺炎前列腺炎淋病尿道炎宫颈炎溶血伤寒血症复杂性尿路感染菌尿肺部感染皮肤软组织感染软组织感染,环丙沙星片(西普乐),
本品主要成份曲克芦丁，化学名称为：7，3′，4′-三羟乙基芦丁。分子式：C33H42O19分子量...,视网膜静脉周围炎,用于缺血性脑血管病（如脑血栓形成、脑栓塞）、血栓性静脉炎、中心性视网膜炎、血管通...,脑血栓脑血栓形成血栓形成静脉炎网膜炎水肿,曲克芦丁氯化钠注射液,静脉滴注。一次0.21g-0.48g(以曲克芦丁计），一日1次，20天为1疗程，或遵医嘱
"本品主要成分曲克芦丁，化学名称为：7,3’,4’-三羟乙基芦丁。",视网膜静脉周围炎,用于缺血性脑血管病脑血栓形成、脑栓塞所致脑梗死、中心性视网膜炎、动脉硬化、冠心病...,脑血栓脑血栓形成血栓形成静脉炎网膜炎水肿,曲克芦丁氯化钠注射液,肌肉注射，一次60～150mg(1/5～1/2支)，一日2次。20天为1疗程，可用1～3疗程，每疗程间隔3～7...
"妥布霉素O-3-氨基-3-脱氧-α-O-葡吡喃糖基-(1→6)-O-[2,6-二氨基-2,3,6-三脱氧-α-D-核-己吡喃糖基-(...",慢性卡他性结膜炎,本品适用于敏感细菌所致的外眼及附属器的局部感染。,细菌感染,妥布霉素滴眼液,1.轻度及中度感染的患者，每日2至3次，每次取约1.5cm长的药膏涂入患眼，病情缓解后减量。...
醋酸地塞米松,眼球破裂伤,主要用于过敏性与自身免疫性炎症性疾病。如结缔组织病，严重的支气管哮喘，皮炎等过敏...,过敏结缔组织病支气管哮喘哮喘皮炎溃疡性结肠炎结肠炎肠炎急性白血病白血病恶性淋巴瘤淋巴瘤溃疡,地塞米松,口服，成人开始剂量为一次1-4片（0.75-3.00mg），一日2-4次。维持量约一日1片（0.75mg），视病...
眼内异物爪的柄部型式为旋转式和杠杆式两种型式。,眼内异物,供眼内显微手术时夹取夹取眼部异物用。,,眼内异物爪,
本品主要成分为羟苯磺酸钙。,视网膜静脉周围炎,1.微血管病的治疗；2.静脉曲张综合症的治疗。,糖尿病视网膜病变糖尿,羟苯磺酸钙胶囊,口服：亚临床视网膜病变或预防性用药，每日500mg，分1～2次服用；非增生性视网膜病变或...
醋酸地塞米松,眼球破裂伤,主要用于过敏性与自身免疫性炎症性疾病。如结缔组织病，严重的支气管哮喘，皮炎等过敏...,过敏结缔组织病支气管哮喘哮喘皮炎溃疡性结肠炎结肠炎肠炎急性白血病白血病恶性淋巴瘤淋巴瘤溃疡,地塞米松,口服，成人开始剂量为一次1-4片（0.75-3.00mg），一日2-4次。维持量约一日1片（0.75mg），视病...
眼内异物爪的柄部型式为旋转式和杠杆式两种型式。,眼内异物,供眼内显微手术时夹取夹取眼部异物用。,,眼内异物爪,
本品由薄膜背衬，背衬保护膜和胶粘剂组成。,角膜擦伤,用于覆盖和保护导管部位和伤口，为伤口愈合维持一个湿润的环境，以便于进行自溶清创术...,,透明薄膜敷贴,
眼内异物爪的柄部型式为旋转式和杠杆式两种型式。,眼内异物,供眼内显微手术时夹取夹取眼部异物用。,,眼内异物爪,
"本品由薄膜背衬,被衬保护膜和胶粘剂组成。",角膜擦伤,"用于覆盖和保护导管部位和伤口,为伤口愈合维持一个湿润的环境,以便于进行自溶清创术。...",,透明薄膜敷贴(商品名：3M Tegaderm 透明敷料),
本药除含活性成分洛草氨酸氨丁三醇外，尚含有泪膜成分：羟丙基甲基纤维素。,急性卡他性结膜炎,各种过敏性眼病，如春季卡他性角结膜炎、卡他性结膜炎、巨大乳头性睑结膜炎、过敏性或...,过敏结膜炎卡他性结膜炎性变态,洛度沙胺氨丁三醇滴眼液,每日4次，每次1-2滴点眼。用药后症状改善(如不适、痒感、异物感、畏光、刺痛、流泪、发...
"本品由薄膜背衬,被衬保护膜和胶粘剂组成。",角膜擦伤,本品造用于治疗对类固醇敏感的眼部炎症，并同时有或潜在有对新霉素和/或多粘菌素敏感...,结膜炎巩膜炎角膜炎泪囊炎疱疹创伤,复方新霉素多粘菌素滴眼液(帕利百),外用，滴眼。一次1-2滴，一日3-5滴。
"本品主要成分为氯霉素，其化学名为D-苏式-(-)-N-[α-(羟基甲基)-β-羟基-对硝基苯乙基]-2,2-二...",动眼、滑车及外展神经疾病,用于治疗由大肠杆菌、流感嗜血杆菌、克雷伯菌属、金黄色葡萄球菌、溶血性链球菌和其他...,溶血结膜炎角膜炎睑缘炎沙眼,氯霉素眼膏(科瑞),涂入眼睑内，一日3次。
本品主要成分及其化学名称为：主要成分是马来酸噻吗洛尔，其化学名为：（一）-1-（叔丁...,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,马来酸噻吗洛尔滴眼液(远恒),滴眼，一次1滴，一日1～2次，如眼压已控制，可改为一日1次。如原用其他药物，在改用本...
本品主要成分及其化学名称为：主要成分是马来酸噻吗洛尔，其化学名为：（一）-1-（叔丁...,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,马来酸噻吗洛尔滴眼液(远恒),滴眼，一次1滴，一日1～2次，如眼压已控制，可改为一日1次。如原用其他药物，在改用本...
本品主要成分及其化学名称为：主要成分是马来酸噻吗洛尔，其化学名为：（一）-1-（叔丁...,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,马来酸噻吗洛尔滴眼液(珍明亮),滴眼，一次1滴，一日1～2次，如眼压已控制，可改为一日1次。如原用其他药物，在改用本...
本品为复方制剂，其主要成份为：每毫升含盐酸小檗碱1mg，硫酸锌3mg，硼酸20mg。,角膜擦伤,用于治疗结膜炎、沙眼等眼部感染。,结膜炎沙眼眼部感染,复方硫酸锌滴眼液(天天明),滴入眼睑内，一次1～2滴，一日3～4次或遵医嘱。
本品主要成分及其化学名称为：主要成分是马来酸噻吗洛尔，其化学名为：（一）-1-（叔丁...,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,马来酸噻吗洛尔滴眼液(诚瑞),滴眼，一次1滴，一日1～2次，如眼压已控制，可改为一日1次。如原用其他药物，在改用本...
盐酸左布诺洛尔,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，手...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,盐酸左布诺洛尔滴眼液(贝他根),滴眼，一次1滴，一日1mdash;2次。滴于结膜囊内，滴后用手指压迫内毗角泪囊部3～5分钟。
盐酸左布诺洛尔,原发性开角型青光眼,适用于原发性开角型青光眼、原发性闭角型青光眼以及高眼压症，特别适用于单独使用β受...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,复方噻吗洛尔滴眼液,使用前把药物浓溶液瓶盖和内塞打开，将稀释剂溶液挤入药物浓溶液瓶内，盖上内塞，摇匀...
熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻、枸杞子、菊花、当归、白芍、蒺藜，煆石决...,原发性开角型青光眼,滋肾，养肝，明目。用于肝肾阴虚，目涩畏光，视物模糊，迎风流泪。,肾阴虚畏光视物模糊迎风流泪流泪,明目地黄丸,口服。一次1丸，一日2次。
本品主要成分及其化学名称为：主要成分是马来酸噻吗洛尔，其化学名为：（一）-1-（叔丁...,原发性开角型青光眼,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部...,原发性开角型青光眼开角型青光眼青光眼高眼压症高眼压,马来酸噻吗洛尔滴眼液(天天明),滴眼，一次1滴，一日1～2次，如眼压已控制，可改为一日1次。如原用其他药物，在改用本...
"本品主要成分为头孢羟氨苄，其化学名为(6R,7R)-3-甲基-7-[（R）-2-氨基-2-（4-羟基苯基）乙酰...",眶蜂窝织炎,主要用于敏感细菌所致的尿路感染，如尿道炎、膀胱炎、前列腺炎、肾盂肾炎、淋病；呼吸...,尿路感染急性扁桃体炎扁桃体炎急性咽炎咽炎中耳炎皮肤软组织感染软组织感染肺部感染,头孢羟氨苄胶囊(四药),1.成人常用量：口服，一次0.5-1.0g，一日2次。2.儿童常用量：一次按15-20mg/kg，一日2次。A...
"本品主要成分为头孢羟氨苄，其化学名为(6R,7R)-3-甲基-7-[（R）-2-氨基-2-（4-羟基苯基）乙酰...",眶蜂窝织炎,主要用于敏感细菌所致的尿路感染，如尿道炎、膀胱炎、前列腺炎、肾盂肾炎、淋病；呼吸...,尿路感染急性扁桃体炎扁桃体炎急性咽炎咽炎中耳炎皮肤软组织感染软组织感染肺部感染,头孢羟氨苄胶囊(欧意),1.成人常用量：口服，一次0.5-1.0g，一日2次。2.儿童常用量：一次按15-20mg/kg，一日2次。A...
本品主要成份为盐酸环丙沙星，其化学名称为：1-环丙基-6-氟-1，4-二氢-4-氧代-7-（1-哌嗪基...,眼内异物,用于敏感菌引起的外眼部感染（如结膜炎等）。,结膜炎眼部感染,盐酸环丙沙星滴眼液(五景),滴于眼睑内，一次1-2滴，一日3-6次，疗程为6-14日。
本品含尼莫地平,高血压病视网膜病变,适用于各种原因的蛛网膜下隙出血后的脑血管痉挛和急性脑血管病恢复期的血液循环改善。,脑血管痉挛痉挛,尼莫地平软胶囊(迈特令),1、缺血性脑血管病：口服。一日120mg，分三次服用，连服一个月。2、偏头痛：口...
本品主要成份是头孢泊肟酯。,眶蜂窝织炎,本品为适用于敏感菌引起的下列感染：1.上呼吸道感染：例如：耳、鼻和喉部感染，包括急...,中耳炎鼻窦炎扁桃体炎喉炎肺炎慢性支气管炎支气管炎气管炎膀胱炎毛囊炎痤疮丹毒蜂窝织炎化脓性甲沟炎甲沟炎皮脂腺囊肿尿道炎宫颈炎肛周炎上呼吸道感染咽喉炎下呼吸道感染皮肤软组织感染软组织感染脓肿囊肿,头孢泊肟酯胶囊(亮博),口服，一次2片一天三次。
琥乙红霉素（红霉素的琥珀酸乙酯），分子式：C43H75NO16，分子量：862.07。,眶蜂窝织炎,1．本品可作为青霉素过敏患者治疗下列感染的替代用药：溶血性链球菌、肺炎链球菌等所...,过敏溶血肺炎急性扁桃体炎扁桃体炎急性咽炎咽炎鼻窦炎猩红热蜂窝织炎白喉破伤风伤风放线菌病梅毒支原体肺炎肺炎衣原体肺炎衣原体肺炎沙眼结膜炎空肠弯曲菌肠炎肠炎百日咳风湿热感染性心内膜炎心内膜炎风湿性心脏病心脏病先天性心脏病湿热,琥乙红霉素颗粒(利君沙),口服，成人一日1.6g，分2～4次服用。军团菌病患者，一次0.4～1.0g，一日4次。成人每日量一...
本品主要成份为琥乙红霉素。,眶蜂窝织炎,1.本品可作为青霉素过敏患者治疗下列感染的替代用药：溶血性链球菌、肺炎链球菌等所致...,过敏溶血肺炎急性扁桃体炎扁桃体炎急性咽炎咽炎鼻窦炎猩红热蜂窝织炎白喉破伤风伤风放线菌病梅毒支原体肺炎肺炎衣原体肺炎衣原体肺炎沙眼结膜炎空肠弯曲菌肠炎肠炎百日咳风湿热感染性心内膜炎心内膜炎风湿性心脏病心脏病先天性心脏病湿热,琥乙红霉素片(利君沙),口服，成人一日1.6g，分2～4次服用。军团菌病患者，一次0.4～1.0g，一日4次。成人每日量一...
本品主要成分为红霉素.,眶蜂窝织炎,本品可作为青霉素过敏患者治疗下列感染的替代用药：溶血性链球菌、肺炎链球菌等所致的...,过敏溶血肺炎急性扁桃体炎扁桃体炎急性咽炎咽炎鼻窦炎猩红热蜂窝织炎白喉破伤风伤风放线菌病梅毒支原体肺炎肺炎衣原体肺炎衣原体肺炎沙眼结膜炎淋病空肠弯曲菌肠炎肠炎百日咳,红霉素肠溶片(金鹿),口服，成人一日1～2g，分3～4次服用。军团菌病患者，一日2～4g，分4次服用。小儿按体重一...
琥乙红霉素,眶蜂窝织炎,1.本品可作为青霉素等-内酰胺类过敏或耐药患者治疗下列感染时使用：溶血性链球菌、肺炎...,过敏溶血肺炎急性扁桃体炎扁桃体炎急性咽炎咽炎鼻窦炎猩红热蜂窝织炎白喉破伤风伤风放线菌病梅毒支原体肺炎肺炎衣原体肺炎衣原体肺炎沙眼结膜炎空肠弯曲菌肠炎肠炎百日咳风湿热感染性心内膜炎心内膜炎风湿性心脏病心脏病先天性心脏病湿热,利君沙（琥乙红霉素片）(利君沙),口服1.成人：一般症状，每次3～4片，每日3次，或遵医嘱。2.儿童：按体重一次7.5～12.mg/kg，...
九节茶。,眶蜂窝织炎,清热解毒，消炎止痛，舒筋活络。用于流行性感冒，咽喉炎，肺炎，菌痢，急性胃肠炎，阑...,咽喉炎脓肿流行性感冒感冒喉炎肺炎急性胃肠炎胃肠炎肠炎阑尾炎烧伤疮疡蜂窝织炎,清热消炎宁片(明善堂),口服。一次3～6片，一日3次。外用。将去除薄膜衣后的药片加温开水溶化后，按患处大小搽...
